Parametre;Coefficient de corellation;Count;Top;List
Prométryne;-0.10880004823999999;25;0.657880869;0.657880869,-0.569760999,-0.522655487,-0.456743156,-0.417566981,-0.413503632,-0.397378643,0.392090399,-0.390071194,-0.372887744,0.365797955,-0.339407825,0.307702075,-0.278354822,0.251831153,0.242006776,-0.224869186,0.202096791,-0.198429219,-0.183184075,-0.176162316,-0.131882956,-0.085605709,0.080957973,-0.061901253
Dichlorométhane;-0.10820194752;25;-0.781546634;-0.781546634,-0.615202327,-0.554440184,-0.522655487,0.475438002,-0.46706014,-0.456743156,0.450207166,0.399003832,0.382952375,0.350958477,-0.343608052,-0.339407825,-0.328802591,-0.247077334,0.242006776,-0.224869186,0.216414358,0.198614531,-0.198429219,-0.168662101,-0.143685854,-0.133227274,0.061598798,0.043174361
Diniconazole;-0.1073000256;10;0.686703289;0.686703289,-0.541663437,-0.53215204,-0.256777576,-0.145164723,-0.126167164,-0.083113326,-0.037474825,-0.022251112,-0.014939342
Phéopigments;0.1070481922413793;29;0.807476691;0.807476691,0.739530151,0.734879778,0.553183905,-0.515230487,-0.497301655,0.474405839,0.464269086,0.419979043,0.40188212,-0.350133552,-0.312433851,0.285268832,-0.279884939,0.242631115,0.239056874,-0.184164838,-0.161847062,-0.145646098,0.143969475,-0.134602794,0.12357905,-0.084989081,0.081038438,0.070883263,-0.060593114,0.03721901,0.024034124,-0.012061748
PCB 128;0.106804525;10;0.54841966;0.54841966,0.364342657,0.280960347,-0.228988251,0.21061617,-0.198462511,0.07599696,0.015160218,0,0
Chlorpyriphos-éthyl;0.105465197;25;0.91040745;0.91040745,-0.564573598,0.506644705,0.480460845,0.444214197,0.44184766,0.40398414,0.357286312,-0.349795998,0.339498841,-0.289960898,0.243766821,-0.20354995,-0.201318693,0.159928653,0.142336876,-0.140857229,-0.128710544,-0.10971936,0.092106281,0.085525086,-0.061943163,0.058599439,0.011106749,0.009345303
Dipropyl phtalate;0.10529515591666666;12;-0.821031548;-0.821031548,0.735939425,0.657020353,-0.504220588,0.465157067,0.416328752,0.208120823,0.120309099,-0.110652889,0.092080731,0.075306314,-0.070815668
Oxygène dissous;-0.10473879134374998;32;-0.640850896;-0.640850896,-0.639883328,-0.551784325,-0.511475268,0.510826885,-0.496257208,-0.45905328,-0.45384507,-0.432654449,0.402444103,0.375696215,0.342235231,-0.334253101,-0.275054774,-0.271175199,-0.263910604,0.251275409,0.227553371,-0.224323761,-0.219767828,0.178043008,-0.176901795,0.175881813,0.138323833,-0.109639303,0.106466371,-0.103059528,-0.090735041,0.066829588,0.058405574,0.038740126,0.030261908
Diazinon;-0.10438796012;25;-0.795660968;-0.795660968,-0.666092327,0.614133932,-0.571536345,0.53304139,0.511232155,0.487721241,-0.465276386,-0.461280123,-0.430828941,-0.419632613,-0.396961529,-0.394023668,0.348658611,-0.25819889,-0.24254856,-0.227848112,-0.226719803,0.141898686,0.132894669,0.127797269,0.113390463,-0.054146235,-0.044001232,0.034288313
Dichloropropane-1,3;0.10411717350000001;12;0.616203689;0.616203689,0.54841966,0.399384141,0.280960347,-0.228988251,-0.213726213,0.21061617,-0.209393793,-0.198462511,0.07599696,-0.046764335,0.015160218
